"id","svgdir_id","uuid","term_id","color","x_min","x_max","x_med","taid"
"1140","128","be746eca-7759-11e4-adb6-57ce06b062da","4096","#DE8ADD","2985","4140","3563","A12.2.09.027"
"1141","129","be73745c-7759-11e4-adb6-57ce06b062da","3761","#242C5D","1195","1620","1408","A12.2.04.006"
"1142","128","be746eca-7759-11e4-adb6-57ce06b062da","4096","#193D38","2985","4140","3563","A12.2.09.027"
"1143","131","be74823e-7759-11e4-adb6-57ce06b062da","4110","#11AD03","2985","4165","3575","A12.2.09.041"
"1144","129","be73745c-7759-11e4-adb6-57ce06b062da","3761","#0CA969","1180","1825","1503","A12.2.04.006"
"1145","133","be7378bc-7759-11e4-adb6-57ce06b062da","3765","#0A4803","0835","1190","1013","A12.2.05.001"
"1146","133","be7378bc-7759-11e4-adb6-57ce06b062da","3765","#0D6BD4","0840","1175","1008","A12.2.05.001"
"1147","135","be742078-7759-11e4-adb6-57ce06b062da","3978","#24431D","0610","1185","898","A12.2.06.001"
"1148","135","be742078-7759-11e4-adb6-57ce06b062da","3978","#8D0C17","0620","1175","898","A12.2.06.001"
"1149","137","be742dd4-7759-11e4-adb6-57ce06b062da","4004","#54731B","1525","1640","1583","A12.2.08.001"
"1150","137","be742dd4-7759-11e4-adb6-57ce06b062da","4004","#FF1B42","1540","1810","1675","A12.2.08.001"
"1151","17","be735a9e-7759-11e4-adb6-57ce06b062da","3727","#FE2EFF","1900","2105","2003","A12.2.03.001"
"1152","18","be7371be-7759-11e4-adb6-57ce06b062da","3756","#F99933","1815","1895","1855","A12.2.04.001"
"1153","141","be735dc8-7759-11e4-adb6-57ce06b062da","3731","#E57106","2150","2515","2333","A12.2.03.101"
"1154","142","be73611a-7759-11e4-adb6-57ce06b062da","3734","#8E6984","2160","2185","2173","A12.2.03.104"
"1155","143","be73649e-7759-11e4-adb6-57ce06b062da","3738","#17BC83","2510","2525","2518","A12.2.03.108"
"1156","144","be736642-7759-11e4-adb6-57ce06b062da","3740","#CB7201","2430","2530","2480","A12.2.03.110"
"1157","145","be7367f0-7759-11e4-adb6-57ce06b062da","3742","#B20480","2115","2135","2125","A12.2.03.201"
"1158","146","be7368c2-7759-11e4-adb6-57ce06b062da","3743","#17C07F","2125","2550","2338","A12.2.03.202"
"1159","147","be736c0a-7759-11e4-adb6-57ce06b062da","3747","#60B4F9","2135","2515","2325","A12.2.03.206"
"1160","148","be736e9e-7759-11e4-adb6-57ce06b062da","3750","#9C4763","2160","2340","2250","A12.2.03.209"
"1161","16","be7336a4-7759-11e4-adb6-57ce06b062da","3683","#EB4604","2025","2075","2050","A12.2.01.001"
"1162","150","be733a82-7759-11e4-adb6-57ce06b062da","3687","#C387ED","1970","2370","2170","A12.2.01.101"
"1163","151","be7349c8-7759-11e4-adb6-57ce06b062da","3706","#0FD599","1950","2150","2050","A12.2.01.201"
"1164","152","be732e2a-7759-11e4-adb6-57ce06b062da","3669","#049432","1935","2570","2253","A07.1.03.001"
"1165","153","be7325e2-7759-11e4-adb6-57ce06b062da","3653","#E76430","2110","2265","2188","A12.1.04.012"
"1166","15","be72b67a-7759-11e4-adb6-57ce06b062da","3570","#77385C","1930","2630","2280","A12.1.00.001"
"1167","155","be730454-7759-11e4-adb6-57ce06b062da","3616","#9DED3E","1950","2560","2255","A12.1.02.001"
"1168","156","be72e938-7759-11e4-adb6-57ce06b062da","3600","#AFF923","2205","2555","2380","A12.1.01.001"
